,id,tcgplayer_id,name,version,set_name,rarity,released_at,cost,inkwell,ink_clean,epid,collector_number
30,crd_5a2ba6e63b07496d96a17d2565b2a1db,539162,The Sorcerer's Hat,NA,Into the Inklands,Enchanted,2/23/2024,2,TRUE,Amethyst,4072738313,210
31,crd_2e1d43823fc642549ba92787523ce17f,539163,Morph,Space Goo,Into the Inklands,Enchanted,2/23/2024,2,TRUE,Emerald,18072744894,211
32,crd_7c5be60911d844b48189f3a042abdcfa,539164,Ursula,Deceiver of All,Into the Inklands,Enchanted,2/23/2024,3,TRUE,Emerald,11072724753,212
33,crd_a1af7dad15b64d31a696f7bbb49bfe92,539165,Kuzco's Palace,Home of the Emperor,Into the Inklands,Enchanted,2/23/2024,3,TRUE,Emerald,9072730704,213
34,crd_266d7d17b42a44be9472057e4e6dd1b1,539166,Captain Hook,Master Swordsman,Into the Inklands,Enchanted,2/23/2024,5,TRUE,Ruby,11072724759,214
35,crd_b5e74b533270492982dff9472aee8664,539274,Peter Pan,Pirate's Bane,Into the Inklands,Enchanted,2/23/2024,6,TRUE,Ruby,26072745232,215
36,crd_7c421033c14c40e7a5be957ba42bb1b7,539167,RLS Legacy,Solar Galleon,Into the Inklands,Enchanted,2/23/2024,4,FALSE,Ruby,6072751794,216
37,crd_7ad03b4873f042bcae4da820a7061ba4,539275,Gramma Tala,Spirit of the Ocean,Into the Inklands,Enchanted,2/23/2024,7,TRUE,Sapphire,25072727238,217
38,crd_ee9f19ba64f54bf78ba3cf40e0cac256,539168,Scrooge McDuck,Richest Duck in the World,Into the Inklands,Enchanted,2/23/2024,5,FALSE,Sapphire,22072735383,218
39,crd_c9f08696c3cd44bf96e2a149bb3cfb12,539169,Belle's House,Maurice's Workshop,Into the Inklands,Enchanted,2/23/2024,1,TRUE,Sapphire,14072726775,219
40,crd_51bf217683f54e1bb4e6835392851031,539276,Mickey Mouse,Trumpeter,Into the Inklands,Enchanted,2/23/2024,4,FALSE,Steel,5072746177,220
41,crd_0a9db863f78c46429d3f1835d046bb2e,539171,Robin Hood,Champion of Sherwood,Into the Inklands,Enchanted,2/23/2024,5,TRUE,Steel,11072724752,221
42,crd_0bd8f734ff064b3881191b916f8354cf,539173,And Then Along Came Zeus,NA,Into the Inklands,Enchanted,2/23/2024,4,FALSE,Steel,10072748142,222
43,crd_eaf7db4a652b47939bddb0db4c9030e9,550544,Cinderella,Melody Weaver,Ursula's Return,Enchanted,5/17/2024,5,TRUE,Amber,7072748517,205
44,crd_b20587f1945e42d59b750f9b69cc4a6b,550537,Minnie Mouse,Musketeer Champion,Ursula's Return,Enchanted,5/17/2024,5,FALSE,Amber,26072745221,206
45,crd_7bd65d4574434dd3ba908203c8cea774,550718,Look at This Family,NA,Ursula's Return,Enchanted,5/17/2024,7,TRUE,Amber,8072737753,207
46,crd_68c45595c25041f3bcf2073a5b533edd,550844,Ursula,Sea Witch Queen,Ursula's Return,Enchanted,5/17/2024,7,TRUE,Amethyst,13072732590,208
47,crd_34dd94ad32194a96931c9e2ff311ad26,550538,Yen Sid,Powerful Sorcerer,Ursula's Return,Enchanted,5/17/2024,2,TRUE,Amethyst,4072738335,209
48,crd_45acf301d7e2469fb961cc1f06bd2889,551943,Second Star to the Right,NA,Ursula's Return,Enchanted,5/17/2024,10,FALSE,Amethyst,25072727184,210
49,crd_93ab5d88940f4610a375a928963a570f,550535,Diablo,Devoted Herald,Ursula's Return,Enchanted,5/17/2024,3,FALSE,Emerald,6072751826,211
50,crd_54e413e671dc4fa3872b3481db960d47,551944,Jasmine,Desert Warrior,Ursula's Return,Enchanted,5/17/2024,5,FALSE,Emerald,15072740113,212
51,crd_3694abe0d09349ca9dbef6861ea42f5a,550541,We Don't Talk About Bruno,NA,Ursula's Return,Enchanted,5/17/2024,5,TRUE,Emerald,10072748077,213
52,crd_3088ee50256240d0b22c045f593df9a8,550542,Goofy,Super Goof,Ursula's Return,Enchanted,5/17/2024,4,TRUE,Ruby,26072745280,214
53,crd_d0714091b2a14f478e2d7704c8eb50d8,550839,Sisu,Empowered Sibling,Ursula's Return,Enchanted,5/17/2024,8,FALSE,Ruby,13072732634,215
54,crd_016db7e8b21348aca4b407fb6d2ce26d,550838,Snuggly Duckling,Disreputable Pub,Ursula's Return,Enchanted,5/17/2024,2,TRUE,Ruby,19072736907,216
55,crd_6155d5f7f7da4f3da02d755d51f10fa7,550674,Anna,True-Hearted,Ursula's Return,Enchanted,5/17/2024,4,TRUE,Sapphire,23072744408,217
56,crd_20f6a0577b714cf393648a074b1f0bb2,550540,The Queen,Diviner,Ursula's Return,Enchanted,5/17/2024,3,TRUE,Sapphire,26072745238,218
57,crd_79195cfde0ae4948894c37bef02d9e6f,550719,Ariel’s Grotto,A Secret Place,Ursula's Return,Enchanted,5/17/2024,2,TRUE,Sapphire,12072723162,219
58,crd_94501fb9ecad49e9a81cd51f7c31dac7,550549,Ariel,Sonic Warrior,Ursula's Return,Enchanted,5/17/2024,6,TRUE,Steel,12072723167,220
59,crd_8ac9f95c19af4213b7c6aed341965206,550721,Piglet,Sturdy Swordsman,Ursula's Return,Enchanted,5/17/2024,5,FALSE,Steel,13072732630,221
60,crd_ae2a969b746542268ff0bcfc735ea367,550536,The Wall,Border Fortress,Ursula's Return,Enchanted,5/17/2024,4,TRUE,Steel,20072735583,222
61,crd_74f050d47ef34391ba29b8c521450dac,561993,Prince Naveen,Ukulele Player,Shimmering Skies,Enchanted,8/9/2024,4,FALSE,Amber,8079581877,205
62,crd_6d0b490fddd34aab828b26cb90a827d6,561992,Vanellope von Schweetz,Sugar Rush Princess,Shimmering Skies,Enchanted,8/9/2024,4,TRUE,Amber,13072732533,206
63,crd_d7a644695e604c958aee5d0ba8fa8415,561979,Revive,NA,Shimmering Skies,Enchanted,8/9/2024,5,FALSE,Amber,8072737763,207
64,crd_cb38cec5fa8e49139bb0377111d6d048,561977,Archimedes,Electrified Owl,Shimmering Skies,Enchanted,8/9/2024,5,TRUE,Amethyst,19072736911,208
65,crd_19b1f802f23a4673aac60e04df0fb2ba,561994,Olaf,Happy Passenger,Shimmering Skies,Enchanted,8/9/2024,9,FALSE,Amethyst,22072735439,209
66,crd_ae57eb31413644379c43ec4208a4023b,561982,Finders Keepers,NA,Shimmering Skies,Enchanted,8/9/2024,5,TRUE,Amethyst,6072751757,210
67,crd_8dbe711cfb4541309eb32cf37fe48997,561991,Clarabelle,Light on Her Hooves,Shimmering Skies,Enchanted,8/9/2024,7,TRUE,Emerald,20072735556,211
68,crd_e382f2cee40343d7ae3faed897045a66,561980,Scar,Vengeful Lion,Shimmering Skies,Enchanted,8/9/2024,4,TRUE,Emerald,2343783522,212
69,crd_f799b47b4b894912a8d83942d0fa4d22,561983,You're Welcome,NA,Shimmering Skies,Enchanted,8/9/2024,4,TRUE,Emerald,18072744829,213
70,crd_306fb0ac65b44f289a2cbacac51ba9fe,559716,Donald Duck,Pie Slinger,Shimmering Skies,Enchanted,8/9/2024,5,TRUE,Ruby,22072735491,214
71,crd_d08869cde8294b0b9f73d0f7192e2335,561984,Robin Hood,Sharpshooter,Shimmering Skies,Enchanted,8/9/2024,4,FALSE,Ruby,14072726727,215
72,crd_4690391667a14f42a7df8ef76771703d,562000,Ratigan's Party,Seedy Back Room,Shimmering Skies,Enchanted,8/9/2024,2,TRUE,Ruby,3072738674,216
73,crd_ca78ff510359490a862b871b577a5fec,562021,Mufasa,Ruler of Pride Rock,Shimmering Skies,Enchanted,8/9/2024,8,FALSE,Sapphire,12072723070,217
74,crd_9c2a04a39aee4b989bf2b1f18bf923ba,561995,King Candy,Sweet Abomination,Shimmering Skies,Enchanted,8/9/2024,5,FALSE,Sapphire,3072738613,218
75,crd_ae4635bbf7ef4b4fb6a30c61f633fa0d,561976,Royal Tantrum,NA,Shimmering Skies,Enchanted,8/9/2024,4,FALSE,Sapphire,5072746163,219
76,crd_222e3894d8c04d2899b047a97912b5c6,562007,Snow White,Fair-Hearted,Shimmering Skies,Enchanted,8/9/2024,5,FALSE,Steel,23072744404,220
77,crd_ad336bbf94b74813aa25312a57af4525,561981,Arthur,King Victorious,Shimmering Skies,Enchanted,8/9/2024,7,FALSE,Steel,24072730741,221
78,crd_c88d044f605440a29cbf41b7cdc7d340,561978,Bad-Anon,Villain Support Center,Shimmering Skies,Enchanted,8/9/2024,3,TRUE,Steel,3072738673,222
79,crd_248b8f0ae7a84f368e48086307f50ff7,634261,Jafar,High Sultan of Lorcana,Promo Set 2,Enchanted,8/9/2024,5,FALSE,Amethyst Steel,16072725842,33
80,crd_c1cd26316f4948a382770ffb29440699,592030,Chip 'n' Dale,Recovery Rangers,Azurite Sea,Enchanted,11/15/2024,8,FALSE,Amber,16072725813,205
81,crd_4dfb12a1e5844317a783074a548bc8c7,592031,Tiana,Restaurant Owner,Azurite Sea,Enchanted,11/15/2024,3,FALSE,Amber,15072740072,206
82,crd_60630688715e45079236d447087a9a83,592001,Sugar Rush Speedway,Finish Line,Azurite Sea,Enchanted,11/15/2024,2,FALSE,Amber,9072730723,207
83,crd_d5432572fd3d4dfc95b01b682c71943c,592032,Rafiki,Ethereal Guide,Azurite Sea,Enchanted,11/15/2024,9,FALSE,Amethyst,8072737780,208
84,crd_b8f5f89ae4fa49e29637b1fffd9c9e4c,592013,Yzma,Conniving Chemist,Azurite Sea,Enchanted,11/15/2024,4,TRUE,Amethyst,8072737779,209
85,crd_66c2f5fd704b45bdbe79f585ac31d6fc,592034,Maleficent's Staff,NA,Azurite Sea,Enchanted,11/15/2024,2,TRUE,Amethyst,23072744347,210
86,crd_21bfac43fba64c06ab62139f3befd6c1,592040,Daisy Duck,Pirate Captain,Azurite Sea,Enchanted,11/15/2024,4,TRUE,Emerald,19072736920,211
87,crd_03fecbc6607a4948a586ccf4f0915c79,591994,Basil,Disguised Detective,Azurite Sea,Enchanted,11/15/2024,6,TRUE,Emerald,9072730719,212
88,crd_b29e4a26e9324724aab37e97a7738476,591998,You Came Back,NA,Azurite Sea,Enchanted,11/15/2024,3,FALSE,Emerald,15072740111,213
89,crd_b1ea1c67fc224e968a4906149590585c,592036,Raya,Kumandran Rider,Azurite Sea,Enchanted,11/15/2024,4,TRUE,Ruby,28072746939,214
90,crd_865641f3cac34a65a36bb2404f4e39dd,592037,Tigger,In the Crow's Nest,Azurite Sea,Enchanted,11/15/2024,3,TRUE,Ruby,2343783553,215
91,crd_37f652aa15934d2b9bd7ad15eb18bbfb,592000,The Islands I Pulled From the Sea,NA,Azurite Sea,Enchanted,11/15/2024,3,FALSE,Ruby,21072745326,216
92,crd_ae7e15af9559439ba734caac9aa567e5,592038,Gadget Hackwrench,Brilliant Bosun,Azurite Sea,Enchanted,11/15/2024,6,TRUE,Sapphire,20072735553,217
93,crd_7a1524eb2f994287ab6de2e677431724,591999,Baymax,Personal Healthcare Companion,Azurite Sea,Enchanted,11/15/2024,3,TRUE,Sapphire,23072744348,218
94,crd_c75fe9ce070a454696dd8d42c6931c68,592012,We Could Be Immortals,NA,Azurite Sea,Enchanted,11/15/2024,4,TRUE,Sapphire,22072735402,219
95,crd_98e2f67c2ee14092be9f89b31f20db4e,590822,Wreck-It Ralph,Ham Hands,Azurite Sea,Enchanted,11/15/2024,6,FALSE,Steel,13072732543,220
96,crd_eb10018264004dc59f9bf0f31295d757,592014,Captain Amelia,Commander of the Legacy,Azurite Sea,Enchanted,11/15/2024,4,TRUE,Steel,4072738342,221
97,crd_c343d1fc29f3491f95bb460c90e081a7,593162,Treasure Mountain,Azurite Sea Island,Azurite Sea,Enchanted,11/15/2024,5,FALSE,Steel,19072736934,222
98,crd_54102dba80604a609eed679b7f33fad3,619733,Aurora,Waking Beauty,Archazia's Island,Enchanted,3/7/2025,3,TRUE,Amber,13075308489,205
99,crd_dbecb4ca526f46ac8faa1a361f1c8bdf,619734,Mirabel Madrigal,Musically Talented,Archazia's Island,Enchanted,3/7/2025,6,TRUE,Amber Amethyst,5075320539,206
100,crd_e8863a1965284a3bad897ee8614d2866,619735,Bolt,Superdog,Archazia's Island,Enchanted,3/7/2025,5,TRUE,Amber Steel,23075320393,207
101,crd_aa7db27471b142cfa97cd5ca3409669d,619736,The Glass Slipper,NA,Archazia's Island,Enchanted,3/7/2025,2,FALSE,Amber,26075321816,208
102,crd_ac531a6c2f3046d3adcffbd1b1e5228e,619737,Donald Duck,Flustered Sorcerer,Archazia's Island,Enchanted,3/7/2025,7,FALSE,Amethyst,6075325817,209
103,crd_1cda76d2cbe84ccda25bd2dc1b21844b,619738,Jafar,Newly Crowned,Archazia's Island,Enchanted,3/7/2025,4,TRUE,Amethyst Steel,16075304556,210
104,crd_29df1d46e9f9463f9058c264f7b3bbd5,619739,Show Me More!,NA,Archazia's Island,Enchanted,3/7/2025,2,FALSE,Amethyst,20075314565,211
105,crd_07d1ea2923ad44b9b2dddf78993e103b,619740,Tramp,Enterprising Dog,Archazia's Island,Enchanted,3/7/2025,2,TRUE,Emerald,7075325763,212
106,crd_6826d906dfc147e89f475f146034e75f,619741,Mad Hatter,Unruly Eccentric,Archazia's Island,Enchanted,3/7/2025,6,TRUE,Emerald Ruby,8075316185,213
107,crd_434537e486234e2095f03c19628e07d4,619742,Hiro Hamada,Armor Designer,Archazia's Island,Enchanted,3/7/2025,7,TRUE,Emerald Sapphire,4075316680,214
108,crd_7896cd21215c42609fc262c908068d94,619743,The Return of Hercules,NA,Archazia's Island,Enchanted,3/7/2025,5,TRUE,Emerald,26075321833,215
109,crd_c43f19388b414266aeddb6cd78f7c020,619744,Ratigan,Nefarious Criminal,Archazia's Island,Enchanted,3/7/2025,4,TRUE,Ruby,10075320034,216
110,crd_0d38ed42e8f14a299f6efefb250350d3,619745,Belle,Mechanic Extraordinaire,Archazia's Island,Enchanted,3/7/2025,9,TRUE,Ruby Sapphire,4075316674,217
111,crd_6a4c5fe1b3b74110acd16d725f8cc3f6,619746,Devil's Eye Diamond,NA,Archazia's Island,Enchanted,3/7/2025,2,TRUE,Ruby,28075325168,218
112,crd_f2493d13b19a45559af0e7ce96f079bc,619747,Tamatoa,Happy as a Clam,Archazia's Island,Enchanted,3/7/2025,6,TRUE,Sapphire,15075317373,219
113,crd_0fa2b60dcf3d46fbb5e61428e33d7d7d,619748,All Is Found,NA,Archazia's Island,Enchanted,3/7/2025,5,TRUE,Sapphire,19075313060,220
114,crd_ec8ba95c2c20470ab00ef4f03c8db8ee,619749,Mickey Mouse,Inspirational Warrior,Archazia's Island,Enchanted,3/7/2025,2,FALSE,Steel,8075316183,221
115,crd_ad5f241dfb68479189af1ac3802327d7,619750,Restoring Atlantis,NA,Archazia's Island,Enchanted,3/7/2025,5,FALSE,Steel,27075319094,222
116,crd_d5c56759b4164f8d98eac7c93c8514b2,633053,Lady,Decisive Dog,Reign of Jafar,Enchanted,5/30/2025,1,TRUE,Amber Emerald,11079341424,205
117,crd_5615e8aef96941acb0e5cf1cfc8988c0,632252,Wreck-It Ralph,Big Lug,Reign of Jafar,Enchanted,5/30/2025,7,FALSE,Amber Ruby,12079198010,206
118,crd_db4137ebc57046a3ba7736adbdb01d44,632686,Perdita,Determined Mother,Reign of Jafar,Enchanted,5/30/2025,6,TRUE,Amber Sapphire,4079335481,207
119,crd_a288e4ad2fa24cadada391a6d1896d9c,631992,It Means No Worries,NA,Reign of Jafar,Enchanted,5/30/2025,9,FALSE,Amber,23079185709,208
120,crd_6527615670294d2a8a23873bc964cec0,633099,Bambi,Little Prince,Reign of Jafar,Enchanted,5/30/2025,3,FALSE,Amethyst,14079376226,209
121,crd_7f8ab8154a444fb69a3eed9c7647b623,632245,Kuzco,Impulsive Llama,Reign of Jafar,Enchanted,5/30/2025,7,TRUE,Amethyst Emerald,27079216122,210
122,crd_a44f1da598c94ec18b4060bb1e932c66,632208,Mother Gothel,Knows What's Best,Reign of Jafar,Enchanted,5/30/2025,2,FALSE,Amethyst Ruby,24079208998,211
123,crd_a728498e9f554bb2b5e4fd82595ed11e,631975,Fantastical and Magical,NA,Reign of Jafar,Enchanted,5/30/2025,9,FALSE,Amethyst,19079178880,212
124,crd_1f6ec070467643d195c82c92cf93c955,632720,Into the Unknown,NA,Reign of Jafar,Enchanted,5/30/2025,3,TRUE,Amethyst Sapphire,11079316418,213
125,crd_cf079ada81bd48cdb9290647f227982c,633103,Rapunzel,High Climber,Reign of Jafar,Enchanted,5/30/2025,5,TRUE,Emerald,6079401167,214
126,crd_0a53330fb9424adcab9e92d04aa428a0,632251,Captain Hook,The Pirate King,Reign of Jafar,Enchanted,5/30/2025,5,TRUE,Emerald Steel,13079207870,215
127,crd_a209d31e37bc44e78b2f56cf474bde5d,631988,Wrong Lever!,NA,Reign of Jafar,Enchanted,5/30/2025,3,TRUE,Emerald,2350225518,216
128,crd_95167fa28eb2442c8d04fc67d2db7fa7,632684,Lilo,Causing an Uproar,Reign of Jafar,Enchanted,5/30/2025,5,TRUE,Ruby,3079331934,217
129,crd_4ea909f6818d4776ae936aa51aed88b8,632228,Mushu,Your Worst Nightmare,Reign of Jafar,Enchanted,5/30/2025,6,TRUE,Ruby Steel,9079203860,218
130,crd_8b81f6ba845442d095833d7c1bee3a6c,631989,The Sword of Shan-Yu,NA,Reign of Jafar,Enchanted,5/30/2025,1,TRUE,Ruby,26079189652,219
131,crd_1a6358dd0385477eb83213749cb5d38f,633104,Stitch,Experiment 626,Reign of Jafar,Enchanted,5/30/2025,3,FALSE,Sapphire,24079383344,220
132,crd_a8b66e0b4abe48f58f9c47dc25593197,633098,Jasmine,Steady Strategist,Reign of Jafar,Enchanted,5/30/2025,4,TRUE,Sapphire Steel,26079394297,221
133,crd_cfbcf752b5064d1e8abfc2a2c6d3e98a,631990,Desperate Plan,NA,Reign of Jafar,Enchanted,5/30/2025,3,FALSE,Steel,14079171917,222
134,crd_61593ca4abb44723ae95ab9228e27aee,650141,The Queen,Conceited Ruler,Fabled,Epic,8/29/2025,3,TRUE,Amber,28084733938,205
135,crd_d292fcaa144d4f739bda2c14948da2ce,650142,Aurora,Holding Court,Fabled,Epic,8/29/2025,1,TRUE,Amber,5084729354,206
136,crd_6ccc388f32064927a08d9914aad4bc8f,650143,Stitch,Alien Dancer,Fabled,Epic,8/29/2025,2,TRUE,Amber,11084707207,207
137,crd_48ccbae93afd4032a54bf09f03f6a0c2,650145,Ursula,Sea Witch,Fabled,Epic,8/29/2025,3,FALSE,Amethyst,18084734095,208
138,crd_21489dcd479a4d209a1b740f356fff6f,647657,Kuzco,Wanted Llama,Fabled,Epic,8/29/2025,2,TRUE,Amethyst,11084407534,209
139,crd_2b5958e1524648629b663fb210bb7f76,647660,Elsa,Snow Queen,Fabled,Epic,8/29/2025,3,TRUE,Amethyst,23084428888,210
140,crd_bc96b5e1045e45a38da57c302c634ba2,650147,Goofy,Set for Adventure,Fabled,Epic,8/29/2025,2,TRUE,Emerald,11084706935,211
141,crd_5623b1aaf330477aa9d14cd755597509,650149,Pegasus,Gift for Hercules,Fabled,Epic,8/29/2025,1,TRUE,Emerald,22084723305,212
142,crd_7b7cb2bd63084cf6942b7174b07be8c0,647659,Stand Out,NA,Fabled,Epic,8/29/2025,3,TRUE,Emerald,20084431225,213
143,crd_4d1c2c4913d1417294da21592cee8363,650150,Max Goof,Rockin' Teen,Fabled,Epic,8/29/2025,3,TRUE,Ruby,18084734116,214
144,crd_e234293cec8f422eb1d613594771e5ee,650151,Powerline,Musical Superstar,Fabled,Epic,8/29/2025,3,TRUE,Ruby,11084707165,215
145,crd_d47a329c9f87420c8c2714ea6f7fffde,650152,Be King Undisputed,NA,Fabled,Epic,8/29/2025,4,FALSE,Ruby,19084722070,216
146,crd_54148f51de174f4a93a475eec138365e,647656,Alice,Accidentally Adrift,Fabled,Epic,8/29/2025,4,TRUE,Sapphire,4084426690,217
147,crd_d911158c4175449e9814484f3c5adb06,650153,Anna,Braving the Storm,Fabled,Epic,8/29/2025,2,TRUE,Sapphire,25084710206,218
148,crd_2124e542c7de4cadb69cb6e1887547ee,650154,The Queen,Mirror Seeker,Fabled,Epic,8/29/2025,4,TRUE,Sapphire,15084754587,219
149,crd_888f26474eba4f569f94c99251eddf06,650155,Robin Hood,Capable Fighter,Fabled,Epic,8/29/2025,2,FALSE,Steel,20084729671,220
150,crd_a78a6d864bae48dca06ed1dc25e75e3f,650156,Mickey Mouse,Standard Bearer,Fabled,Epic,8/29/2025,2,TRUE,Steel,7084734752,221
151,crd_ae1714b13cbc42a4a83ec36fee365526,650157,One Last Hope,NA,Fabled,Epic,8/29/2025,3,FALSE,Steel,27084730244,222
152,crd_c233fd3627b24b02bd616aa62bbdc83a,651110,Pongo,Determined Father,Fabled,Enchanted,8/29/2025,3,TRUE,Amber,26085035563,223
153,crd_8016f590ebb344a2934d76f614fedbba,651122,Beast,Gracious Prince,Fabled,Enchanted,8/29/2025,5,TRUE,Amber,24085020991,224
154,crd_ee377c93c09341fe808b8582cbded0f2,649230,Circle of Life,NA,Fabled,Enchanted,8/29/2025,8,TRUE,Amber,13084592873,225
155,crd_c51b6a26015b45f298d1664787f37234,651121,Belle,Accomplished Mystic,Fabled,Enchanted,8/29/2025,5,TRUE,Amethyst,3085022564,226
156,crd_69d9b22e10244e2fb65ffbdb5f99da83,651107,Winnie the Pooh,Hunny Wizard,Fabled,Enchanted,8/29/2025,5,TRUE,Amethyst,2356071196,227
157,crd_aa13ad9fe176464bac51e72c45dd6914,651119,Dumbo,Ninth Wonder of the Universe,Fabled,Enchanted,8/29/2025,4,TRUE,Amethyst,23085029621,228
158,crd_aed92d8e19b14ef19a92fb436dde357c,651118,Genie,Of the Lamp,Fabled,Enchanted,8/29/2025,4,TRUE,Emerald,15085028526,229
159,crd_b5087f60fdf4442686a00fb4243fcf48,651113,Max Goof,Chart Topper,Fabled,Enchanted,8/29/2025,6,TRUE,Emerald,11085007859,230
160,crd_d72f9b00497a4ff0ac7ddb0f85da659d,651112,Mickey Mouse,Steamboat Pilot,Fabled,Enchanted,8/29/2025,3,TRUE,Emerald,20085031262,231
161,crd_e6a1d03334964fb78033020d86a5f502,651123,Ariel,Adventurous Collector,Fabled,Enchanted,8/29/2025,3,TRUE,Ruby,19085023566,232
162,crd_be9c85638bda44878c44cf4cc7e7cfb0,649231,Powerline,World's Greatest Rock Star,Fabled,Enchanted,8/29/2025,6,TRUE,Ruby,19084593324,233
163,crd_d2d94d7cffe349d9a618f8bdb6695f29,651116,I2I,NA,Fabled,Enchanted,8/29/2025,9,TRUE,Ruby,3085022575,234
164,crd_08b670dabf3b4ff0a56cb4525b0b57db,651111,Mulan,Considerate Diplomat,Fabled,Enchanted,8/29/2025,5,TRUE,Sapphire,17085027365,235
165,crd_f5d62175b09243eda1bf9f34ea01d884,651120,Cruella De Vil,Style Icon,Fabled,Enchanted,8/29/2025,3,FALSE,Sapphire,11085007939,236
