id,cost,strength,willpower,lore,ink,type_clean,keywords,classifications,illustrators,flavor_text
crd_9bfdd01bee6045f2b694a2b280e834ec,4,2,5,1,Steel,Character,Bodyguard,"c(""Dreamborn"", ""Hero"", ""Musketeer"")",Dav Augereau,
crd_4ca99dff350049e6a2a72a72b595d33f,2,2,2,1,Steel,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Princess"", ""Knight"")",Grace Tran,"She's always had the heart of a champion—now she'll have the skills, too."
crd_c0112540b6764a02a42944c0434d87ae,3,1,1,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Alex Accorsi,"""There's a lot of nuance to squirrel.""
–Kronk"
crd_a82fc925002649ae93310c73c8a74a8c,4,2,3,1,Ruby,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Hero"")",Adam Fenton,
crd_ba8bf1ab1f3a454eac2237a820e5da88,2,1,3,1,Steel,Character,character(0),"c(""Dreamborn"", ""Hero"")",Noukah,"""Capable? You don't know the half of it.""
–Little John"
crd_6cb04ac82f5f43b1a4a7cf2deae221df,6,1,6,3,Amber,Character,character(0),"c(""Storyborn"", ""Hero"")",Mark Henn,"""Come on in—there's lots to explore."""
crd_2dcbea7036c54b9688bba4a478e03294,4,3,4,1,Amethyst,Character,Challenger,"c(""Storyborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Brittney Lee,"The power of ice may not stop the flood, but it will
help protect Lorcana."
crd_a751124c50e347d68fe2a2b340f01719,8,3,5,3,Emerald,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Hero"")",Eric Goldberg,NA
crd_7ed94ab06dc44f91895dd7b9bf648b97,6,4,6,3,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Alien"")",Alex Kupershmidt,"""His destructive programming is taking effect. He will
be irresistibly drawn to large cities, where he will back
up sewers, reverse street signs, and steal everyone's
left shoe.""
—Jumba Jookiba"
crd_f8ac73538afa418390174732631ffa52,5,3,6,3,Sapphire,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Lorelay Bové,"She had no invitation—and needed no
introduction."
crd_23bbbd44361b4dcf9942bd281212a613,8,8,8,3,Steel,Character,character(0),"c(""Storyborn"", ""Hero"", ""Deity"")",Bill Schwab,"When the gods gift you a boat, you take it. The boat's
owner is optional."
crd_0f37017fbc274dae8dc0603b6c6a73c3,2,4,2,0,Ruby,Character,Reckless,"c(""Storyborn"", ""Villain"")",Matthew Robert Davies,It's not arrogance when you really are the best.
crd_a204f84909b6469c95cf671500547b35,3,3,3,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"")",Dave Beauchene,"As long as he's around, newcomers to the Great Illuminary will always get a warm welcome."
crd_e12a06c8188f4b1ba084b7c6b14b466d,3,3,3,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"")",Dave Beauchene,"As long as he's around, newcomers to the Great Illuminary will always get a warm welcome."
crd_cddd82bf6ec742418d26e653630792e9,3,2,2,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Jake Parker,"""It's been fun, guys, but I got to be going. Yahoooo!"""
crd_3fde5b7a72b24201b728abd6c7f1797a,1,0,5,0,Ruby,Location,character(0),NULL,Nicolas Ky,
crd_1dace5aa2ed9488e88a16feb02561049,4,NA,NA,NA,Sapphire,Action Song,character(0),NULL,Anna Rud / Anna Stosik,
crd_1dfcefb9ec294a798aabd2a21300d88d,3,3,3,1,Steel,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Alien"", ""Pirate"", ""Captain"")",Kumatori Gaku,"""I was never much good at games. Always hated to lose."""
crd_6625bb30bff14209886c5157c85c37a4,6,3,5,3,Amber,Character,Shift,"c(""Floodborn"", ""Hero"", ""Alien"")",Nicholas Kole,
crd_953f8e5972634de5935794d17a4a3e06,5,0,6,2,Amber,Character,Shift,"c(""Floodborn"", ""Hero"", ""Princess"")",Aubrey Archer,NA
crd_31457772bf37423d9723625203754abd,2,1,1,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Hero"")",Juan Diego Leon,"""A lie keeps growing and growing until it's as plain as the nose on your face.""
-Blue Fairy"
crd_8b31286860cf4d2da0374f76bf93e6e7,4,NA,NA,NA,Sapphire,Action Song,character(0),NULL,Jochem van Gool,
crd_96d515e8823e42ce96c3aab0ad415d01,4,2,5,1,Amber,Character,Support,"c(""Storyborn"", ""Hero"")",Filipe Laurentino,
crd_5fbd8a029bf344a6a3e42793c324f12c,5,0,6,1,Amethyst,Character,character(0),Location,Eri Welli / Sam Burley,
crd_c961ff4c701b45da8cc477d7a5192b6e,2,NA,NA,NA,Emerald,Item,character(0),NULL,Adam Fenton,"""It looks like it's been here forever.""
-Flounder"
crd_ac797e7b8dc043fa8cc160ee82f94713,2,1,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Jared Mathews,"Ursula's messengers fled, leaving behind tendrils of dark ink."
crd_5b8b1ca3bad5482e8fc1592899c58cbf,7,4,7,3,Amethyst,Character,Shift,"c(""Floodborn"", ""Villain"", ""Queen"", ""Sorcerer"")",John Loren,
crd_c77d5fd7b519414d848dc5e73124f5ce,2,1,3,1,Sapphire,Character,character(0),"c(""Dreamborn"", ""Hero"")",Stefano Zanchi,A strange new world is the perfect place to make a strange new fortune!
crd_a7de9bb16f4540ec9e7bb9a870a9b289,6,5,5,2,Amethyst,Character,Shift,"c(""Floodborn"", ""Ally"")",Brian Kesinger,
crd_d9f3b86af85f48579ed9d0d7ce0de129,4,3,4,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Matthew Robert Davies,"""..."""
crd_be92bba983424f2f9546f237e65ce357,3,2,3,1,Amber,Character,Singer,"c(""Storyborn"", ""Hero"", ""Princess"")",Alice Pisoni,NA
crd_5a280549e94f43c09ef0bcdf8ce4fa31,4,2,5,2,Amber,Character,Singer,"c(""Storyborn"", ""Hero"", ""Princess"")",Javier Salas,NA
crd_9bd583ab207a4366a12f37ab94ed8619,5,3,6,1,Amber,Character,Bodyguard,"c(""Dreamborn"", ""Hero"", ""Musketeer"")",Jochem Van Gool,"""En gawrsh!"""
crd_ab901cb3afed4b95b0bbca4350b0d4d7,8,6,7,1,Amber,Character,Shift,"c(""Floodborn"", ""Villain"", ""King"", ""Deity"")",Alex Accorsi,"""Oh hey, I'm gonna need new business cards."""
crd_4c9f441611314185a25b1fca893f6643,4,3,2,1,Amber,Character,character(0),"c(""Storyborn"", ""Villain"", ""Deity"")",Randy Bishop,"""Production is up, costs are down, the rivers are full. Time to talk expansion."""
crd_7b875417a470447eb4d998d9b634580b,1,1,2,1,Amber,Character,Support,"c(""Storyborn"", ""Ally"")",Jenna Gray,"""Sometimes, our strengths lie beneath the surface. Far beneath, in some cases....""
—Moana"
crd_5a1091c1a03c43d4854b66426d49aa10,2,1,2,2,Amber,Character,character(0),"c(""Storyborn"", ""Ally"")",Andrey Chumak,You need a good toady to be a proper bad guy.
crd_0ccbea0b8fd54779939f56e1fcc3769a,1,1,1,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"")",Dave Beauchene,"""A falling star... I have to make a wish!"""
crd_1d41bcb819ef4f12b40b5aab332e0c4c,5,4,5,1,Amber,Character,"c(""Bodyguard"", ""Support"")","c(""Storyborn"", ""Ally"")",Brian Weisz,NA
crd_dbc44ab9437a44568efdf23b37f3f278,3,3,3,1,Amber,Character,character(0),"c(""Dreamborn"", ""Ally"")",Kendall Hale,"He pursues his quarry with courage, discipline, and a touch of class."
crd_682afbbf65fa43ec8d17d382183a81e0,3,3,3,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"")",Dave Beauchene,"As long as he's around, newcomers to the Great Illuminary will always get a warm welcome."
crd_e40a35d966914476b267935d79337667,2,2,3,1,Amber,Character,character(0),"c(""Dreamborn"", ""Princess"")",Kendall Hale,"Wherever the princess goes, her musketeers are... well, they're around somewhere, probably."
crd_6c18714222c749b8b16800630a5d26cf,5,1,6,3,Amber,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Nicholas Kole,"""I am Moana of Motunui. You will board my boat, sail across the sea, and restore the heart of Te Fiti."""
crd_ef759d382c954423b841d6cbac94dfbc,3,2,5,1,Amber,Character,character(0),"c(""Dreamborn"", ""Ally"", ""Pirate"")",Kamil Murzyn / Eri Welli,"""Mr. Smee is a kind, gentle soul who lives to bring comfort and aid to a twisted old villain. Now, what good is kindness like that?""
—Peter Pan"
crd_f1e67c29942c408daaa683520972e1ea,4,3,3,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"", ""Prince"")",Philipp Kruse,"""The road to true love may be barred by still many more dangers, which you alone will have to face.""
—Flora"
crd_389a5296a2114c10a16be57f0677429f,4,3,5,1,Amber,Character,character(0),"c(""Storyborn"", ""Ally"")",Jenna Gray,"""You gotta put your behind in your past."""
crd_63a9a93217614c00a186fe10b8791073,4,1,5,2,Amber,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Jochem Van Gool,NA
crd_acaae5dbf3c341b8ad35851ac755cfd6,2,2,2,1,Amber,Character,Singer,"c(""Storyborn"", ""Ally"")",Isaiah Mesq,"""I should be writing symphonies, not tagging along after some headstrong teenager."""
crd_a3bd1e1b8b3a4ca094cefbc1d7bf4d60,2,2,3,1,Amber,Character,Bodyguard,"c(""Storyborn"", ""Hero"", ""Prince"")",Filipe Laurentino,Courage comes in all sizes.
crd_78e5de38150f48c5b9813c08cc534dfb,7,4,8,2,Amber,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Alien"")",Marcel Berg,"""So you're from outer space, huh? I hear the surfing's choice.""
—David"
crd_a46be9bd3971477695ee84d0f25ff88d,1,2,2,1,Amber,Character,character(0),"c(""Storyborn"", ""Hero"", ""Alien"")",Alex Accorsi,"Lilo: ""David! I got a new dog!""
David: ""Auwe!...You sure it's a dog?""
Lilo: ""Uh-huh. He used to be a collie before he got ran over."""
crd_c32945ecfd3d44859d3af3841977a737,6,3,5,3,Amber,Character,Shift,"c(""Floodborn"", ""Hero"", ""Alien"")",Simangaliso Sibaya,The best part about a beachside concert is that there's always room for one more.
crd_a7a780b01376481388b871a1b533de08,1,1,2,1,Amber,Character,character(0),"c(""Storyborn"", ""Ally"")",Juan Diego Leon,"""There's all manner of tasty treats in the world—ya just gotta know where to look."""
crd_49437643a6454368a630d12ba20c146f,2,NA,NA,NA,Amber,Action Song,character(0),NULL,R. La Barbera / L. Giammichele,NA
crd_3a593c8dd2fe4552a4874f7346527387,1,NA,NA,NA,Amber,Action,character(0),NULL,Amber Kommavongsa,NA
crd_2894c74113e7436abf095fe35dde6ea8,4,NA,NA,NA,Amber,Action Song,character(0),NULL,Juan Diego Leon,What a wonderful phrase!
crd_ce4f357a6aa24302ba5553eefea4930a,1,NA,NA,NA,Amber,Action,character(0),NULL,Philipp Kruse,"""Don't freak out!""
—Rapunzel"
crd_4d9c8fd7ab2241d9893ca3ad6a31daed,3,NA,NA,NA,Amber,Action,character(0),NULL,Leonardo Giammichele,The best heroes always arrive at the perfect moment—whether they know it or not.
crd_df53bbf046f542d19202f4e11bbe9d5b,3,NA,NA,NA,Amber,Action Song,character(0),NULL,Samanta Erdini,"What would I give
If I could live out of these waters?"
crd_c91b8810b881450faa5942daf03e03ef,4,NA,NA,NA,Amber,Action,character(0),NULL,Alice Pisoni,"""You are more than what you have become.""
—Mufasa"
crd_4ab0c55e07324d30903f51b7bbd41c8d,1,NA,NA,NA,Amber,Item,character(0),NULL,Eri Welli,Enjoy the finest of human hairstyles!
crd_8d54bb18a7514ab19536ac9afe747002,2,NA,NA,NA,Amber,Item,character(0),NULL,Eri Welli,"Lanterns fill the sky on one special night, beacons of hope and love."
crd_a2c18604455b4a4c8d4868ad36370d3d,3,NA,NA,NA,Amber,Item,character(0),NULL,Jenna Gray,"""Singing is a lovely pastime...if you've got the voice for it.""
—Ursula"
crd_6e2cd50802964cfdb903d16ef856caae,4,2,4,2,Amethyst,Character,character(0),"c(""Storyborn"", ""Hero"", ""Queen"")",Valerio Buonfantino,"""Two sisters, one mind."""
crd_f2b9a7e014e64eca88d8c9c7eee07019,1,2,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Ally"")",Kendall Hale,"""Flying is not merely some crude, mechanical process. It is a delicate art. Purely aesthetic. Poetry of motion. And the best way to learn it is to do it!"""
crd_a23c8618b0aa41f9b41b9f0603495380,7,4,5,3,Amethyst,Character,Shift,"c(""Floodborn"", ""Villain"", ""Sorcerer"")",Isaiah Mesq,NA
crd_17c7228380dd4d8e8b5e2cce3058d9d3,2,0,4,1,Amethyst,Character,Challenger,"c(""Storyborn"", ""Villain"", ""Sorcerer"")",Grace Tran,"""Enchantée. A tip of the hat from Dr. Facilier."""
crd_7c6dbcfcfb90484c9e7d5f28cee46687,3,2,4,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Villain"", ""Sorcerer"")",Cam Kendell,NA
crd_643a385f109c4e50a6462b86c64b98b2,4,4,4,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Duyen Nguyen / Aubrey Archer,"""I never knew what I was capable of."""
crd_cd96e3f148dd46de80ac08abe51a48e4,3,2,3,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Nicholas Kole,"Recreated by magical ink, Elsa found herself in an entirely new world. Fortunately, ice works the same way everywhere."
crd_04bca46a8e2d4e9ba0fbdbfc6c99e51e,8,4,6,3,Amethyst,Character,Shift,"c(""Floodborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Matthew Robert Davies,Ice is stronger than you may think.
crd_e5912655e48f42a9ab863ac2337171cc,5,3,4,2,Amethyst,Character,Rush,"c(""Storyborn"", ""Ally"")",Luis Huerta,"""We know someone who can help you... for a price."""
crd_10bcf02ebeea4a3c8aac36e976120e99,4,0,5,2,Amethyst,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Marcel Berg,There's more than one way to bury secrets.
crd_695cab1b70c24a0289cc2d3c2316dfed,4,2,5,1,Amethyst,Character,Challenger,"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Jake Parker,"""Enough skulking about. It's time to show that sniveling sultan what a sorcerer can do."""
crd_3725a62bd3aa40a086ad041a84a910d3,4,3,3,1,Amethyst,Character,Evasive,"c(""Storyborn"", ""Ally"")",Brian Weisz,"""We can help you get anything you want...."""
crd_95ecf1d59f004e4399a2c61e280dfd13,2,2,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Broom"")",Dav Augereau / Giulia Riva,"In the immense story-forge known as the Great Illuminary, there is always work to be done."
crd_ed5b22e519844e948a57784cdc4d5a48,1,1,1,2,Amethyst,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Grace Tran,"""One mustn't rush these things, or the greatest plan might come to nothing."""
crd_ff8bf99d2bd84183bcc4b5d7a18360f0,3,2,2,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Villain"", ""Sorcerer"")",Valerio Buonfantino,"""You dare challenge me? Fool, my magic is more powerful than you could possibly imagine!"""
crd_de3c296136f24c1a8bada1580861504c,6,5,5,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Kendall Hale / Anh Dang,"""Hey! We were just talking about you! All good things, all good things.""
—Olaf"
crd_fa380ef9482e4e808e11365588c7178e,4,3,4,2,Amethyst,Character,character(0),"c(""Dreamborn"", ""Sorcerer"")",Nicholas Kole,He always goes for the clean sweep.
crd_2ceed4bdc2b3437c82a41d83d9fe8aee,1,1,3,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Giulia Riva,"""I'm Olaf and I like warm hugs!"""
crd_52d47bf453634824858ebdd26f42d5f6,1,1,1,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Brian Weisz,"A true friend is always there for you, whether you can see them or not."
crd_3939d10a183b4eb48b843a68c74ed87b,3,3,3,1,Amethyst,Character,Rush,"c(""Dreamborn"", ""Mentor"", ""Sorcerer"")",Giulia Riva,"""The past can hurt. But the way I see it, you can either run from it or learn from it."""
crd_33319f66def14264811a95e658040bb9,6,5,7,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Jared Nickerl,"""Reindeer comin' through!""
—Kristoff"
crd_03be711c05fe4b8ebd081c3578f37444,5,4,5,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Villain"", ""Queen"")",Matthew Robert Davies,Sublime beauty matched with peerless cunning. Is there any question who is fairest?
crd_0ab2ecd7d121461e8053278706d889d5,3,3,4,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Ally"")",Giulia Riva,When you simply must have the hautest couture.
crd_3ac122b5a08e42ac986aa536da6c1000,5,3,3,2,Amethyst,Character,Evasive,"c(""Storyborn"", ""Ally"", ""Fairy"")",Adrianne Gumaya,NA
crd_2700ee961f214ad48e6284b2a8e864dc,7,2,8,3,Amethyst,Character,character(0),"c(""Storyborn"", ""Villain"", ""Sorcerer"")",Simangaliso Sibaya,"The first Rule of Villainy: If you're going to be evil, you've got to have style."
crd_fd1e38170964420294911187ef450c55,2,2,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Hadjie Joos,"""When I want your opinion, I will give it to you!"""
crd_48d5eae218d14c72a3b0485e369b2d06,4,0,4,2,Amethyst,Character,"c(""Challenger"", ""Rush"")","c(""Storyborn"", ""Deity"")",Koni,"""A little lightning solves a whole lot of problems."""
crd_6e2faccbf9a240219279b1c4acff7bd5,1,NA,NA,NA,Amethyst,Action,character(0),NULL,Kendall Hale,Never be afraid to have your mind boggled now and then.
crd_7ea36567dec64789a714995b1f459a47,2,NA,NA,NA,Amethyst,Action,character(0),NULL,Cristian Romero,It's time for you to chill.
crd_f9097c53f99d488aa8685b73ea5a9373,3,NA,NA,NA,Amethyst,Action Song,character(0),NULL,Amber Kommavongsa,"The cards, the cards
the cards will tell..."
crd_2edd696f67314cde96ae6ff8f6661033,1,NA,NA,NA,Amethyst,Action Song,character(0),NULL,Kevin Hong,"When will my reflection show
Who I am inside?"
crd_75b7a6e439114050b3e283955b439058,2,NA,NA,NA,Amethyst,Item,character(0),NULL,Andrew Trabbold,"""What wouldst thou know, my Queen?"""
crd_9548bea5e69544d5b3e488e97d33065c,2,NA,NA,NA,Amethyst,Item,character(0),NULL,Oleg Yurkov,Perfect for mixing potions and stealing voices.
crd_5e059b9ed96e4fb68bb54b1086394797,3,NA,NA,NA,Amethyst,Item,character(0),NULL,Kamil Murzyn,"""No wonder you're late. Why, this watch is exactly two days slow."" —The Mad Hatter"
crd_cae2a3157f7a42d782a2c3cefae01615,2,2,2,1,Emerald,Character,Ward,"c(""Storyborn"", ""Hero"", ""Prince"")",Lauren Walsh,Fabulously wealthy. Practically untouchable. Genuinely inauthentic.
crd_cd3d8417b8544063ae6a41766d24b130,5,4,4,2,Emerald,Character,Rush,"c(""Dreamborn"", ""Hero"", ""Prince"")",Jeff Murchie,"""I'll take on all of you if I have to!"""
crd_e49c0deba37f453f8f27da810c8bfe39,3,0,3,2,Emerald,Character,character(0),Storyborn,Caner Soylu,"""You may have noticed that I'm not all there myself."""
crd_a3a886b05f4149c695ffbd5e5b9a049f,2,1,3,1,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"")",Nicholas Kole,"When she stops by, misery is company."
crd_fb2dc6f12f584032a54f9925f060e059,1,2,2,1,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"")",R. La Barbera / L. Giammichele,"""Sorcery! I knew there was something dubious going on here."""
crd_c0742f7731e04b749870bceb5c6b133b,2,1,2,2,Emerald,Character,character(0),"c(""Storyborn"", ""Hero"", ""Prince"")",Leonardo Giammichele,"""I didn't want to have to do this, but you leave me no choice...."""
crd_e910a64a2c12444e9eb34bab151b0428,6,3,4,2,Emerald,Character,Evasive,"c(""Storyborn"", ""Ally"")",Giulia Riva,"""Can your friends go 'Abracadabra, let 'er rip' and then make the sucker disappear?"""
crd_976b70e13c194a6f8b955d7ea5307bbc,8,3,5,3,Emerald,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Hero"")",Javier Salas,NA
crd_64d94b7ad8e84bac909438767e1e63af,2,2,3,1,Emerald,Character,character(0),"c(""Dreamborn"", ""Ally"")",Matt Chapman,"""You can wish for nearly anything! Do you want the short version, or should I give you the whole song and dance?"""
crd_c0ca53eaf2d849e7b533d0628ea7585c,4,3,3,3,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"", ""Prince"")",Massimiliano Narciso,"""Rules are like older siblings. All they do is get in the way."""
crd_449f6f94972b4bce9a87460460204cd8,3,4,3,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Isaiah Mesq,"""Well, they ain't in here, Jasper."""
crd_fb67b53a2df44bff96ca7fff2d607437,3,1,4,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Brian Weisz,NA
crd_1dd05220d5994e3181153d33340718fc,3,2,4,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Jochem Van Gool,"""Now, look here, Horace, I warned you about thinkin'."""
crd_ab006041fefc4aba8f3142821fded198,6,5,5,2,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"", ""Alien"", ""Pirate"", ""Captain"")",Duyen Nguyen / Jared Nickerl,"""Don't be too put off by this... hunk of hardware."""
crd_a1887fe9f3f74f7183a0a9bc44f57582,5,4,5,2,Emerald,Character,character(0),"c(""Dreamborn"", ""Alien"", ""Inventor"")",Milica Celikovic,"""Created something? Ha! But that would be irresponsible and unethical. I would never, ever... make more than one."""
crd_6e0fa538c4894981b9e014b0ef5efd97,5,2,4,3,Emerald,Character,Ward,"c(""Storyborn"", ""King"")",Grace Tran,"""I asked for emerald and that is clearly jade! What is wrong with you people?"""
crd_1acda7d08eb443e9bd36798a1fd7741a,6,1,5,1,Emerald,Character,character(0),"c(""Dreamborn"", ""Villain"")",Leonardo Giammichele,"""If your chores are done, then clearly you don't have enough of them."""
crd_6f4d7a28b34b4520a7456a89f3d72a15,5,2,4,3,Emerald,Character,character(0),Storyborn,Rosa la Barbera,"Mad Hatter: ""Would you like a little more tea?""
Alice: ""I haven't had any yet, so I can't very well take more."""
crd_769e68c4d309489fa1a27c2d237a7b2e,2,2,1,1,Emerald,Character,character(0),"c(""Dreamborn"", ""Ally"")",Aubrey Archer,"""A deal's a deal. But falling in love was never supposed to be part of it."""
crd_1fc96a36c5a94f05a295d7d565ece2b8,7,6,5,2,Emerald,Character,Shift,"c(""Floodborn"", ""Hero"")",Alex Accorsi / Kendall Hale,"Quiet as a... well, you know."
crd_03cc8c548715482fb5d2d3d894767dbd,3,3,4,1,Emerald,Character,character(0),"c(""Storyborn"", ""Hero"", ""Captain"")",Juan Diego Leon,"On rivers throughout the Inklands, the little steamboat's whistle answers the cheery tunes of its pilot."
crd_b9b75a9f9ec8475b836925a711e88d8d,6,3,6,2,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"")",Javier Salas,"""Great. Now I'm the bad guy."""
crd_91d042c887b54b7098c9044a36816008,3,3,2,1,Emerald,Character,Evasive,"c(""Dreamborn"", ""Hero"")",Koni,"""What's the matter, Hook? Can't you fly?"""
crd_ce61d71725be41b7a5a766b690f56a1b,2,1,4,1,Emerald,Character,character(0),Dreamborn,Jeff Murchie,"""Someday, I'll grow up to be the most crabulous crustacean the world has ever seen!"""
crd_314a692823404f41b6c94ef90a3fc5e8,4,2,3,2,Emerald,Character,Evasive,"c(""Storyborn"", ""Ally"", ""Fairy"")",Caner Soylu,NA
crd_c6e59761b01b488b9a46b1dbfb30707e,3,NA,NA,NA,Emerald,Action,character(0),NULL,Ellie Horie,"""...Then scrub the terrace, sweep the halls and the stairs, clean the chimneys. And of course there's the mending, and the sewing, and the laundry...""
—Lady Tremaine"
crd_ae6da5a02eb8403e9dd4df5ff4dac55b,3,NA,NA,NA,Emerald,Action Song,character(0),NULL,R. La Barbera / L. Giammichele,"One way or another
Something will go wrong, I swear"
crd_c2b11d41ddb1477a8f7293afb674c765,1,NA,NA,NA,Emerald,Action,character(0),NULL,Matt Chapman,A wildebeest stampede is like a raging river: best experienced from a distance.
crd_cc2d13ea26124968b44151ab66a7a343,5,NA,NA,NA,Emerald,Action,character(0),NULL,Hedvig Häggman-Sund,"""Wonder how much ol' Prince John spent on all those fancy locks.""
—Little John"
crd_cf7aaffeb44d43fdb372b21fec59ff3b,2,NA,NA,NA,Emerald,Action Song,character(0),NULL,Giulia Riva,"Cruella De Vil, Cruella De Vil
If she doesn't scare you, no evil thing will"
crd_7c0b98be9394466198db3610a9b64953,3,NA,NA,NA,Emerald,Action,character(0),NULL,Matthew Robert Davies,"""It's only fitting that the finest hunter gets the foulest beast!""
—Gaston"
crd_85e0edbb8cbd458fa3957029a8bb5697,1,NA,NA,NA,Emerald,Action,character(0),NULL,Michaela Martin,"""A true king takes matters into his own claws.""
—Scar"
crd_b30843c0d5e845ee88fc040b5c5e727b,2,NA,NA,NA,Emerald,Item,character(0),NULL,Koni,"""Take a little trip into your future with me!""
—Dr. Facilier"
